Title,Price,Availability,Size,Dispatch Time,Product Type,Signed By,Presentation Type,Player Name
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Manchester City 2012-13 UCL Celebration,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Manchester City 2011-12 Celebration,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Manchester City Celebration vs Manchester United,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Manchester City Celebration vs Bayern Munich UEFA Champions League,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Premier League Golden Boot Winner,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
UNSIGNED Sergio Aguero Photo In Black Wooden Frame: Argentina Celebration with Lionel Messi,£49.99,In stock,570mm (H) x 470mm (W) x 30mm (D),Usually dispatched within 3-4 working days,Signed photos,Unsigned,Framed,Sergio Aguero
Sergio Aguero Official Manchester City Back Signed and Framed 2019-20 Home Shirt,£467.49,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Back Signed and Hero Framed Manchester City 2019-20 Home Shirt,£649.99,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Back Signed and Framed Manchester City 2019-20 Home Shirt,£599.99,Out of stock,875mm (H) x 785mm (W) x 38mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Back Signed Manchester City 2019-20 Home Shirt,£299.99,Out of stock,N/A,Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Unframed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Back Signed and Hero Framed Manchester City 2021-22 Home Shirt,£699.99,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Back Signed and Framed Manchester City 2021-22 Home Shirt,£649.99,Out of stock,875mm (H) x 785mm (W) x 38mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official Manchester City Back Signed and Framed 2021-22 Home Shirt,£509.99,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official FC Barcelona Back Signed and Framed 2021-22 Home Shirt,£649.99,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Fast dispatch in 3-4 working days sent via DHL Express,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official FC Barcelona Back Signed 2021-22 Home Shirt,£449.99,Out of stock,N/A,Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Unframed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Signed and Hero Framed Manchester City 2020-21 Home Shirt,£749.99,Out of stock,920mm (H) x 1120mm (W) x 20mm (D),Fast dispatch in 3-4 working days sent via DHL Express,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Official UEFA Champions League Signed and Framed Manchester City 2020-21 Home Shirt,£599.99,Out of stock,875mm (H) x 785mm (W) x 38mm (D),Fast dispatch in 3-4 working days sent via DHL Express,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Signed Manchester City 2020-21 Home Shirt In Hero Frame: Option 1,£599.99,Out of stock,1015mm (W) x 750mm (H) x 25mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Signed Manchester City 2020-21 Home Shirt In Classic Frame,£549.99,Out of stock,885mm (H) x 780mm (W) x 30mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Signed Manchester City 2020-21 Home Shirt In Deluxe Packaging,£484.99,Out of stock,375mm (H) x 315mm (W) x 40mm (D),Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Deluxe Packaged,Sergio Aguero
Sergio Aguero Back Signed Argentina 2020-21 Home Shirt In Hero Frame: Option 1,£599.99,Out of stock,1015mm (W) x 750mm (H) x 25mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Back Signed Argentina 2020-21 Home Shirt In Deluxe Packaging,£484.99,Out of stock,375mm (H) x 315mm (W) x 40mm (D),Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Deluxe Packaged,Sergio Aguero
Sergio Aguero Signed Manchester City 2020-21 Home Shirt,£449.99,Out of stock,N/A,Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Unframed,Sergio Aguero
Sergio Aguero Back Signed Argentina 2020-21 Home Shirt In Classic Frame,£549.99,Out of stock,885mm (H) x 780mm (W) x 30mm (D),Usually dispatched within 8-10 working days,Signed shirts,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Back Signed Argentina 2020-21 Home Shirt,£449.99,Out of stock,N/A,Usually dispatched within 2-3 working days,Signed shirts,Sergio Aguero,Unframed,Sergio Aguero
Sergio Aguero Signed Green Puma V1.11 Boot In Bubble Frame: Option 1,£349.99,Out of stock,610mm (W) x 520mm (H) x 127mm (D),Usually dispatched within 8-10 working days,Signed boots,Sergio Aguero,Framed,Sergio Aguero
Sergio Aguero Signed Green Puma V1.11 Boot In Acrylic Case,£249.99,Out of stock,340mm (W) x 230mm (D) x 190mm (H),Usually dispatched within 3-4 working days,Signed boots,Sergio Aguero,Acrylic Cased,Sergio Aguero
